task,method,dataset,dataset_id,role,fold,protocol,status,returncode,command,adapter_sha256,config_sha256,input_sha256,frozen_split_sha256,train_mask_sha256,val_mask_sha256,test_mask_sha256,source_prediction_sha256,compact_prediction_path,compact_prediction_sha256,shape,finite,complete_test_coverage,fallback_used,fallback_policy,adapter_audit_source_sha256
SpaGE__Cell2location_mouse_brain_ST8059048_shared12819__fold0,SpaGE,Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,Primary,0,A,completed,0,"[""python"",""${REPOSITORY_ROOT}/baseline/SpaGE/run_spage_mhpr_fold_from_split.py"",""--locations-path"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/Locations.txt"",""--st-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/Spatial_count.txt"",""--sc-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/scRNA_count.txt"",""--gene-split-json"",""${FORMAL_RUN_ROOT}/inputs/Cell2location_mouse_brain_ST8059048_shared12819/fold0/mode_a_split.json"",""--train-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold0_train_gene_idx.npy"",""--val-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold0_val_gene_idx.npy"",""--test-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold0_test_gene_idx.npy"",""--model-gene-scope"",""train_indices"",""--output-dir"",""${FORMAL_RUN_ROOT}/baselines/SpaGE/Cell2location_mouse_brain_ST8059048_shared12819/fold0"",""--skip-adapter-metrics""]",53a620ea84e728f17a1776612e4ee8680c64e7e2fa28668e60ef19dca6fab781,33553a6394a306c3f5a03dc99a3b6cdf27e9a7bd56202fe730d3c466d2f9b3d5,8c7cf0f2cef7bfae57f2bd3846bc527a3dba2429ce561d51522497f07b5bc4e8,beb942b57e04f728580ccf6e584d0e9a51c978cb1123faea34506275bdb95999,8be16e884c5f68f03a6fb475dc8299852e76f195ca05fb177189a01317f510ed,33ac1c5e8b36e2610ec33736f195b6999892ed5d10145c5f34ac647d4f36fcb4,42132cf916c0a08eee0ac52bb15ddbae937f039dad0d804ddf1b9dd549a97cd8,270181100ba13770de0acc2ce3e07fc2c9934804a4d8a563b55835a2cb82e55f,prediction_matrices/Cell2location_mouse_brain_ST8059048_shared12819/SpaGE/fold0/prediction.npz,b567d9f5adc9b1d68c433462c18166961b8da8af1280ec903fe49368d5addea8,"[2987,2564]",True,True,False,"{""policy"":""disabled"",""used"":false}",2ca510f533999172b14ced9772456328645dad6dc0a198ba0b588b8dd705d761
SpaGE__Cell2location_mouse_brain_ST8059048_shared12819__fold1,SpaGE,Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,Primary,1,A,completed,0,"[""python"",""${REPOSITORY_ROOT}/baseline/SpaGE/run_spage_mhpr_fold_from_split.py"",""--locations-path"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/Locations.txt"",""--st-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/Spatial_count.txt"",""--sc-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/scRNA_count.txt"",""--gene-split-json"",""${FORMAL_RUN_ROOT}/inputs/Cell2location_mouse_brain_ST8059048_shared12819/fold1/mode_a_split.json"",""--train-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold1_train_gene_idx.npy"",""--val-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold1_val_gene_idx.npy"",""--test-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold1_test_gene_idx.npy"",""--model-gene-scope"",""train_indices"",""--output-dir"",""${FORMAL_RUN_ROOT}/baselines/SpaGE/Cell2location_mouse_brain_ST8059048_shared12819/fold1"",""--skip-adapter-metrics""]",53a620ea84e728f17a1776612e4ee8680c64e7e2fa28668e60ef19dca6fab781,33553a6394a306c3f5a03dc99a3b6cdf27e9a7bd56202fe730d3c466d2f9b3d5,a9fcfe791fd491ec4358a0a5ee4901c6c010b3a8eb9a11ee30b06d87c9c3982c,0ff2bfa6a65f9e83e52a8633dfedaa8721c7dd857b0ea23ed7c37b79be869435,f6dca5be5a6b3cb7e9e4aa5929f525a7647889689a628bd343be7b52871e6541,3be41559f2cc15da3c7c65c9638c12bd53309ca07291f9c628802d4009a9fb2e,c93d5ceafd8a0113441c5b57ba7410060f22ab7eb635b1b4baf6890b8402eb81,bd4ab820e25f10d0f37695c1d9cbf9db67af2c06f75ef33369aefa586f30af4f,prediction_matrices/Cell2location_mouse_brain_ST8059048_shared12819/SpaGE/fold1/prediction.npz,fa405c9a1361342609c3799a94776e337ab30448ca30a537882cd3632be88507,"[2987,2564]",True,True,False,"{""policy"":""disabled"",""used"":false}",0d980aa00107b3b990c938ff6f2368d173d3023b2deb5e9446352f6dccef05a2
SpaGE__Cell2location_mouse_brain_ST8059048_shared12819__fold2,SpaGE,Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,Primary,2,A,completed,0,"[""python"",""${REPOSITORY_ROOT}/baseline/SpaGE/run_spage_mhpr_fold_from_split.py"",""--locations-path"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/Locations.txt"",""--st-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/Spatial_count.txt"",""--sc-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/scRNA_count.txt"",""--gene-split-json"",""${FORMAL_RUN_ROOT}/inputs/Cell2location_mouse_brain_ST8059048_shared12819/fold2/mode_a_split.json"",""--train-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold2_train_gene_idx.npy"",""--val-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold2_val_gene_idx.npy"",""--test-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold2_test_gene_idx.npy"",""--model-gene-scope"",""train_indices"",""--output-dir"",""${FORMAL_RUN_ROOT}/baselines/SpaGE/Cell2location_mouse_brain_ST8059048_shared12819/fold2"",""--skip-adapter-metrics""]",53a620ea84e728f17a1776612e4ee8680c64e7e2fa28668e60ef19dca6fab781,33553a6394a306c3f5a03dc99a3b6cdf27e9a7bd56202fe730d3c466d2f9b3d5,819a27cbe0214bd4181e39e5f0a15edf6ff6cb633d68febb389e0b1df9681788,eefeca3f31c91967f8ecb2d8afa5e2b990aff18fd97bee4ff8d4eacb1becc0cb,3b1d1818321bb1aad27509a350d0d0f4236b98ab1907a6ae09ecca0423d2259b,7721049aa7985f166194f9815e2072dcc66d56def574ce6922057026da582c1c,388b0c2f32a30a09cd51e187b80065e4362646d4a53ba443db77cbf7f93849fe,fef115bccb36d31d626b217057ab6abe7e412b9b214325baf5886d856a4637aa,prediction_matrices/Cell2location_mouse_brain_ST8059048_shared12819/SpaGE/fold2/prediction.npz,9d9e310c77c27396ca8a3e82882ec1ea5456f05fa5f33d1cb81048af11cf4ace,"[2987,2564]",True,True,False,"{""policy"":""disabled"",""used"":false}",0feda153f193b7008d83ea54d7ed93963afd548abff9d5b5d6c679ca81bef820
SpaGE__Cell2location_mouse_brain_ST8059048_shared12819__fold3,SpaGE,Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,Primary,3,A,completed,0,"[""python"",""${REPOSITORY_ROOT}/baseline/SpaGE/run_spage_mhpr_fold_from_split.py"",""--locations-path"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/Locations.txt"",""--st-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/Spatial_count.txt"",""--sc-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/scRNA_count.txt"",""--gene-split-json"",""${FORMAL_RUN_ROOT}/inputs/Cell2location_mouse_brain_ST8059048_shared12819/fold3/mode_a_split.json"",""--train-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold3_train_gene_idx.npy"",""--val-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold3_val_gene_idx.npy"",""--test-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold3_test_gene_idx.npy"",""--model-gene-scope"",""train_indices"",""--output-dir"",""${FORMAL_RUN_ROOT}/baselines/SpaGE/Cell2location_mouse_brain_ST8059048_shared12819/fold3"",""--skip-adapter-metrics""]",53a620ea84e728f17a1776612e4ee8680c64e7e2fa28668e60ef19dca6fab781,33553a6394a306c3f5a03dc99a3b6cdf27e9a7bd56202fe730d3c466d2f9b3d5,9d4ebd250b1cda6ffbcbb2b29f1a5fe0f0980335235d843caac9acc18f982fef,c7bebc9fe0284c3c385d44872385f244da718a70f8cdf397c5247d8fbe1f010c,64626541e38ccc7934d048bf78aca7d206cedec5c245492d4a4e9f90d279bd51,087c62d320d0fc959472bab977f31c2ad218ecd12a29a42774d0da150fee820e,bf93b7e05806eb237fb160017302819f4014b724aa0cf5cc93b97e6126b7c19d,4f231f489fe660a2eef1c59d2eac81085f0a0153dc39a23291699a9143037ef4,prediction_matrices/Cell2location_mouse_brain_ST8059048_shared12819/SpaGE/fold3/prediction.npz,8a68f31eedd8d2128bdc19d22329a0d7ced56092f092aecff4d9276089ccca27,"[2987,2564]",True,True,False,"{""policy"":""disabled"",""used"":false}",25ecdb9029a92253aa7320a6016a1b2a067286a0ab0170a50a8f11f2cf10f4bb
SpaGE__Cell2location_mouse_brain_ST8059048_shared12819__fold4,SpaGE,Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,Primary,4,A,completed,0,"[""python"",""${REPOSITORY_ROOT}/baseline/SpaGE/run_spage_mhpr_fold_from_split.py"",""--locations-path"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/Locations.txt"",""--st-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/Spatial_count.txt"",""--sc-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819/scRNA_count.txt"",""--gene-split-json"",""${FORMAL_RUN_ROOT}/inputs/Cell2location_mouse_brain_ST8059048_shared12819/fold4/mode_a_split.json"",""--train-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold4_train_gene_idx.npy"",""--val-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold4_val_gene_idx.npy"",""--test-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks/fold4_test_gene_idx.npy"",""--model-gene-scope"",""train_indices"",""--output-dir"",""${FORMAL_RUN_ROOT}/baselines/SpaGE/Cell2location_mouse_brain_ST8059048_shared12819/fold4"",""--skip-adapter-metrics""]",53a620ea84e728f17a1776612e4ee8680c64e7e2fa28668e60ef19dca6fab781,33553a6394a306c3f5a03dc99a3b6cdf27e9a7bd56202fe730d3c466d2f9b3d5,f3f8a6437f43a07906d1664c0aee3bb44e3e6880b56b293a9988889281f03a28,6466cbcee4a1936f8dbb07a0960d6d76f25aa44542edc491134ce7eec5ef37f1,cbfd99ddf09fc04cdd459900188deebf6aa01fb6772593727f2ff5fc584e637c,c7b76f6a2f506710a748a0a3a82d9f5a0cda55969fbdb712f1aa6fc562c45645,9e94e2499f4429b3086b9be011fd8b5ba1762f33507e11202bd4d64e0ae69f73,dd3d22c93c7ef5c6bca892ffdb755a5acb5e772ee60bad497eeff02110400b48,prediction_matrices/Cell2location_mouse_brain_ST8059048_shared12819/SpaGE/fold4/prediction.npz,2dd9e138af1c42d74a9964c1ab0700c1621bc714d4880488cef67d9ab0563c4c,"[2987,2563]",True,True,False,"{""policy"":""disabled"",""used"":false}",99b5787554b15c9c7977934bcc2ee4737c63aada93b8f473fdf0558e473c3eb7
SpaGE__HBC_shared16112__fold0,SpaGE,HBC,HBC_shared16112,Primary,0,A,completed,0,"[""python"",""${REPOSITORY_ROOT}/baseline/SpaGE/run_spage_mhpr_fold_from_split.py"",""--locations-path"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt"",""--st-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Spatial_count.txt"",""--sc-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/scRNA_count.txt"",""--gene-split-json"",""${FORMAL_RUN_ROOT}/inputs/HBC_shared16112/fold0/mode_a_split.json"",""--train-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold0_train_gene_idx.npy"",""--val-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold0_val_gene_idx.npy"",""--test-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold0_test_gene_idx.npy"",""--model-gene-scope"",""train_indices"",""--output-dir"",""${FORMAL_RUN_ROOT}/baselines/SpaGE/HBC_shared16112/fold0"",""--skip-adapter-metrics""]",53a620ea84e728f17a1776612e4ee8680c64e7e2fa28668e60ef19dca6fab781,33553a6394a306c3f5a03dc99a3b6cdf27e9a7bd56202fe730d3c466d2f9b3d5,0e0f26aae7890412c874fec53e7b273bd0d4e46909eb9e1b4b88e1dc1a04c319,4ce4847e775e2d24b06c749fb149a6aaa2de40942e4a9f3777be9f3abb032977,ef83fab615edb32ce9bdae91286943e023e38ae1f7e97b8d48274757fb37f562,76af4f9935024e2ac1fd6186c7e99cf5c01d56ca5fcc023d47497d9581c10874,a3f4969b2064f41c0446caa29c91b0a0bd97fba5a7bb664ac4176083afeb2f85,af61c0e76218be435aaf0aaebb095a0c792a8b9d738bd52a7f1db1a21b0e84e5,prediction_matrices/HBC_shared16112/SpaGE/fold0/prediction.npz,375f45a8bcfd15c2285c3576031389b11c7309098f26fe303f063dfe3bf9a698,"[4784,3223]",True,True,False,"{""policy"":""disabled"",""used"":false}",ec6a24d885ecbe6519b37529a1502b1491714432d58669bf2f7374fc6a4e4c38
SpaGE__HBC_shared16112__fold1,SpaGE,HBC,HBC_shared16112,Primary,1,A,completed,0,"[""python"",""${REPOSITORY_ROOT}/baseline/SpaGE/run_spage_mhpr_fold_from_split.py"",""--locations-path"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt"",""--st-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Spatial_count.txt"",""--sc-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/scRNA_count.txt"",""--gene-split-json"",""${FORMAL_RUN_ROOT}/inputs/HBC_shared16112/fold1/mode_a_split.json"",""--train-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold1_train_gene_idx.npy"",""--val-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold1_val_gene_idx.npy"",""--test-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold1_test_gene_idx.npy"",""--model-gene-scope"",""train_indices"",""--output-dir"",""${FORMAL_RUN_ROOT}/baselines/SpaGE/HBC_shared16112/fold1"",""--skip-adapter-metrics""]",53a620ea84e728f17a1776612e4ee8680c64e7e2fa28668e60ef19dca6fab781,33553a6394a306c3f5a03dc99a3b6cdf27e9a7bd56202fe730d3c466d2f9b3d5,71f97ec07a1af8c1e9452b99db6b09896c76912c566cef2b722885ba7fd8ba68,f6691162c498f3137b20fa905f242e3aef94af9baae454a9ea793484f2681761,6e62bbad175f2aaa6df1e9bb647e7adcdeadc72591877ab28245dcbff0363b30,a360b611bda06d9e4cc17925d9e0e1215cdc6989f2b6546ba1020b48ff8867a4,89d348c106fe410e5bd6f85aff16a978bd38b4406b96ed490b0f54c877a22d06,3e4e977abb973f58bfd9ec3fbfb09234266a49660c8f7e9fc6ad23d27847dbf1,prediction_matrices/HBC_shared16112/SpaGE/fold1/prediction.npz,385521bfd4b0e11567875b8a7276b8628cac1606a07092845b07c306a274831b,"[4784,3223]",True,True,False,"{""policy"":""disabled"",""used"":false}",340af388c4b0b5cb71c71e0b2795af480cbadb193c977f5064ac35f65afade8a
SpaGE__HBC_shared16112__fold2,SpaGE,HBC,HBC_shared16112,Primary,2,A,completed,0,"[""python"",""${REPOSITORY_ROOT}/baseline/SpaGE/run_spage_mhpr_fold_from_split.py"",""--locations-path"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt"",""--st-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Spatial_count.txt"",""--sc-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/scRNA_count.txt"",""--gene-split-json"",""${FORMAL_RUN_ROOT}/inputs/HBC_shared16112/fold2/mode_a_split.json"",""--train-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold2_train_gene_idx.npy"",""--val-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold2_val_gene_idx.npy"",""--test-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold2_test_gene_idx.npy"",""--model-gene-scope"",""train_indices"",""--output-dir"",""${FORMAL_RUN_ROOT}/baselines/SpaGE/HBC_shared16112/fold2"",""--skip-adapter-metrics""]",53a620ea84e728f17a1776612e4ee8680c64e7e2fa28668e60ef19dca6fab781,33553a6394a306c3f5a03dc99a3b6cdf27e9a7bd56202fe730d3c466d2f9b3d5,3151e7d7ecb1e6a766ccd9b8426b8cbd41bd28c195af49f220ada555888a0691,74e6b6d0a2308db90c59d08f6a9d95a2ea8ce510f160c4623ea4e6e171218d81,5615efb74616d0c80e8435991868790245143020fc88e691e677355667146182,cd66c3485da98b37730a74b6241945037566355ecfdb478262f3db6fd5fcd041,c3be12018dc6417829a992c180042316326aa1dee1f67df43376122d443c03dc,723702c07ec97937278cf0de51d06e006fd09132ac59048c15fe5f6f4845f6a8,prediction_matrices/HBC_shared16112/SpaGE/fold2/prediction.npz,dc2f67db4c2a89c97be38053d6f621446d763a62d8c45596ea15e11d06fbb3f5,"[4784,3222]",True,True,False,"{""policy"":""disabled"",""used"":false}",be3e563f509dc53c2c0a003f0e5bffcf9b1f848c282a14820d0dbc8b384f3223
SpaGE__HBC_shared16112__fold3,SpaGE,HBC,HBC_shared16112,Primary,3,A,completed,0,"[""python"",""${REPOSITORY_ROOT}/baseline/SpaGE/run_spage_mhpr_fold_from_split.py"",""--locations-path"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt"",""--st-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Spatial_count.txt"",""--sc-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/scRNA_count.txt"",""--gene-split-json"",""${FORMAL_RUN_ROOT}/inputs/HBC_shared16112/fold3/mode_a_split.json"",""--train-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold3_train_gene_idx.npy"",""--val-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold3_val_gene_idx.npy"",""--test-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold3_test_gene_idx.npy"",""--model-gene-scope"",""train_indices"",""--output-dir"",""${FORMAL_RUN_ROOT}/baselines/SpaGE/HBC_shared16112/fold3"",""--skip-adapter-metrics""]",53a620ea84e728f17a1776612e4ee8680c64e7e2fa28668e60ef19dca6fab781,33553a6394a306c3f5a03dc99a3b6cdf27e9a7bd56202fe730d3c466d2f9b3d5,0bc2fa14bfd07f7ad42c99d9ccb5bc7256321890bdc7632941f7c77e84ea201a,4d37be4bb433e1eb64d48e016818fdb19d7bb9cd109378daea424cafe05d95c8,9c7f0f0dfe9faea0e5c51061770d4b0f803b1cf356e515f5c0a80da7b27fd241,8087243cdb7b39691bdcc01fc15801c95fdcb9dec09222e50eab655048232c36,93256c82c034aaac186c28bd21d97e512d6827d756c1e1e95c1fa85812282c32,393c9ef3287fdef6619a5fcb5f2eebe17a6281f77df01a3975ffcc1f90321220,prediction_matrices/HBC_shared16112/SpaGE/fold3/prediction.npz,ecca98745576a37aaee9eae718b9e22c65b3b97747de8d85a8d6b1a4d317902e,"[4784,3222]",True,True,False,"{""policy"":""disabled"",""used"":false}",82333f90b4c096e02e7b078dc6ec413aadd04b524b517c5fa74c53a7eb920272
SpaGE__HBC_shared16112__fold4,SpaGE,HBC,HBC_shared16112,Primary,4,A,completed,0,"[""python"",""${REPOSITORY_ROOT}/baseline/SpaGE/run_spage_mhpr_fold_from_split.py"",""--locations-path"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt"",""--st-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Spatial_count.txt"",""--sc-data"",""${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/scRNA_count.txt"",""--gene-split-json"",""${FORMAL_RUN_ROOT}/inputs/HBC_shared16112/fold4/mode_a_split.json"",""--train-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold4_train_gene_idx.npy"",""--val-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold4_val_gene_idx.npy"",""--test-gene-idx-path"",""${ARCHIVE_ROOT}/frozen_splits/primary/HBC_shared16112/gene_index_masks/fold4_test_gene_idx.npy"",""--model-gene-scope"",""train_indices"",""--output-dir"",""${FORMAL_RUN_ROOT}/baselines/SpaGE/HBC_shared16112/fold4"",""--skip-adapter-metrics""]",53a620ea84e728f17a1776612e4ee8680c64e7e2fa28668e60ef19dca6fab781,33553a6394a306c3f5a03dc99a3b6cdf27e9a7bd56202fe730d3c466d2f9b3d5,50bc08f08312203728bb423118610a20c20a57b61172cbd65f473ec37f4e5725,b37dc409f10071fda19e0442700e7b9e421adb325c90962e47529d74a2cc35c8,49d83a99de196efa3c7e88b1a6d9273297f2353ce77ce82098a58f7e174a4b41,e14a2a75568077bd2411444d4cfc8f92b7bee577016a75c237de095a7922c328,e1c31c594a974e5f60b55ac5c075aa29b463436e11c5fb1f9762ce7f9b0f78ae,c758a655b38077300d82003d6fb8bcef903c32ae6d776797f4880bb0f5af5fdf,prediction_matrices/HBC_shared16112/SpaGE/fold4/prediction.npz,8281c01ba66dde9579df0892c65513e4984e357362b3a289b1d4208ae1a96b19,"[4784,3222]",True,True,False,"{""policy"":""disabled"",""used"":false}",2c260e51e500ecdfbd76d1550039e8ccb0d7249f0aa315440547d8799c3f36a0
