dataset,dataset_id,role,fold,train_gene_count,validation_gene_count,test_gene_count,train_mask_path,train_mask_sha256,val_mask_path,val_mask_sha256,test_mask_path,test_mask_sha256,raw_counts_sha256,scrna_counts_sha256,locations_sha256,mode_a_split_sha256,full_truth_sha256,normalization_audit_sha256,normalization_policy,artifact_manifest_sha256
Vis9A,Vis9A_D7_spaim_effective4470,Primary,0,2861,715,894,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold0_train_gene_idx.npy,f3a1c16b35f56a534b109ced9d72a17e056c8cfd84d141203f5f02c58645329a,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold0_val_gene_idx.npy,10242cc536b7baf55958ecddb9a560d87e64d1a0772a6c0f08d88f0a886d8644,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold0_test_gene_idx.npy,7480af17ae915418113f18506d281e07455a1e057935768e13ca90d158185a03,9ad677269fc67df89648b2ac4a522ae70f9bafb4300fc9515d49e97f4fd1bf5e,18e00b36841e8a5da569be5b05e0041854b15236c73cd80925e6eb5fa3f4ddaa,3d2ff5e90a71f09d84ed5c53bf1900e088224f586001659639daaedf3481ce7c,1d7b9f0cc7f3ac6ae3b90a050926e7f3a853ea42816c2529cf1cc3bad0af89ac,3a11246c5abf1b38e73b930aef904017107514e9c46c631298275631abd88e7a,6aab420f601cbb525197131c28f542ff4508348ce694f694cb0c0788fdbbffc3,inner_train_gene_library_size_applied_to_all_columns,c82af32af5c1ccdb7a2f7ab2affeb9e69649f9dcc98589a86289c659700221b9
Vis9A,Vis9A_D7_spaim_effective4470,Primary,1,2861,715,894,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold1_train_gene_idx.npy,a313fa3424ae9537f07c50950271133408102f65620ec702f75dd114b8b88577,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold1_val_gene_idx.npy,7fa16937da45bba58d41219305e839f81b56175454ef0db94a0ae529f68e5409,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold1_test_gene_idx.npy,46c82b360e5dd491a62e06fe287cabbbb9ab55a291aff6a677d1cf559ab5e174,9ad677269fc67df89648b2ac4a522ae70f9bafb4300fc9515d49e97f4fd1bf5e,18e00b36841e8a5da569be5b05e0041854b15236c73cd80925e6eb5fa3f4ddaa,3d2ff5e90a71f09d84ed5c53bf1900e088224f586001659639daaedf3481ce7c,02511399b49b49c10da81b1193e3c55176cf2d5fc5111ee86ede04ddaf51610d,aa4afe2e140d5c6cf1b1e39083275fe8337a29b9781d2778345df6f5ad0b938d,f5cc00a973ef3acd20b8ff7bde4d49c09081da17c1ce3c15e81755df1e7a2ad3,inner_train_gene_library_size_applied_to_all_columns,d030a482c0e58855f5f46cd97e63780aecf84fa0c31aaa96f1bca12cce2e47b7
Vis9A,Vis9A_D7_spaim_effective4470,Primary,2,2861,715,894,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold2_train_gene_idx.npy,716fad7064f06c21164d208724a2430d2607f6a0a308d056fc73d0083a29ab3a,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold2_val_gene_idx.npy,d6af4a2437e5bbb53595e02be753d067346e001b9f253894f515998c19c1bcfa,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold2_test_gene_idx.npy,171131c765a7dd984b0a392ab8c32d322a7a5c01d6a97cc995e2d5c67d30140d,9ad677269fc67df89648b2ac4a522ae70f9bafb4300fc9515d49e97f4fd1bf5e,18e00b36841e8a5da569be5b05e0041854b15236c73cd80925e6eb5fa3f4ddaa,3d2ff5e90a71f09d84ed5c53bf1900e088224f586001659639daaedf3481ce7c,c04932839df5fae5c51a36d42736a796a6f97377a9515b34db77dcb6e9d2dca3,37aefd78544092b3c91928607940a65f7c8df7234104fe9af5c775a45dd5f254,a910e71f2240f8a613b26ed0f688d0a76a3498ad233da5970799f7ea70a303ce,inner_train_gene_library_size_applied_to_all_columns,ebe84d146eb3fc62995e528423b82d934630c58b701519f00cdc73b0da820f4d
Vis9A,Vis9A_D7_spaim_effective4470,Primary,3,2861,715,894,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold3_train_gene_idx.npy,d1a740dee74f81000d26555bc50f537d8fcb7bddcaeab61632bde6497e1390ce,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold3_val_gene_idx.npy,37684f98f14b15f246da067cae7bf06fc0c704aa468fc31536c34de5e1cfcf3f,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold3_test_gene_idx.npy,d55ef121d713cd02df05b594f535b51173615252a8f9a6e67d2b6cd966f3a48f,9ad677269fc67df89648b2ac4a522ae70f9bafb4300fc9515d49e97f4fd1bf5e,18e00b36841e8a5da569be5b05e0041854b15236c73cd80925e6eb5fa3f4ddaa,3d2ff5e90a71f09d84ed5c53bf1900e088224f586001659639daaedf3481ce7c,4d0709ac89e838520a486f2694203a7f6223173a3454b02f7573a4a573d5d021,0db25ee1c3756010c628f55c835c7affc4c0435be50815f94694dbc969e52004,54bf58c6c4212a3396d526da2590cc60da90604110ec1cbe43905b9a3330f083,inner_train_gene_library_size_applied_to_all_columns,a7cd04713872a3010cf078a09f97ed77225323a7218bc2669ff19c98598f9250
Vis9A,Vis9A_D7_spaim_effective4470,Primary,4,2861,715,894,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold4_train_gene_idx.npy,0da07dfc5b528133dddbd3fe9ddbf9b282b61034b19ab5f4de7b9ca96f6c2f1c,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold4_val_gene_idx.npy,2a53191f7351d8e88a4869f602852bcc1323835a717f178dfe86a051eebb1b8c,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks/fold4_test_gene_idx.npy,1c103fefb542a56adead736a68e00112100b512663b8d80695177b5aac4244a0,9ad677269fc67df89648b2ac4a522ae70f9bafb4300fc9515d49e97f4fd1bf5e,18e00b36841e8a5da569be5b05e0041854b15236c73cd80925e6eb5fa3f4ddaa,3d2ff5e90a71f09d84ed5c53bf1900e088224f586001659639daaedf3481ce7c,538ea182685b3f7deb02d3be2a33fe44e5e3b3f9c9f5ee9eca5a9173744c49c4,dff0a435cc3e6bd29774484272a240cd69c35056baf7e752e762f09a1a2cdb84,7a25c2cf57b789e210496835bfeb374c1f9d55f89facdd7d4e6cb289c4ae9d46,inner_train_gene_library_size_applied_to_all_columns,f6f71161b571060557bb7ad73dd9688a46ca58f5903e21bde53a01022217a1b9
HBC,HBC_shared16112,Primary,0,10311,2578,3223,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold0_train_gene_idx.npy,ef83fab615edb32ce9bdae91286943e023e38ae1f7e97b8d48274757fb37f562,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold0_val_gene_idx.npy,76af4f9935024e2ac1fd6186c7e99cf5c01d56ca5fcc023d47497d9581c10874,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold0_test_gene_idx.npy,a3f4969b2064f41c0446caa29c91b0a0bd97fba5a7bb664ac4176083afeb2f85,99b3725d9f95cfa74f78f928df5670db51e6ac10157093e61768f93ec44c911c,5dbc613e4298e8d83512b4ea4b2ceb71608b3e630e71a85027f4a0c387322af1,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,60b4a51ec44d5cf945e744835966242f226b83432eaea5b58ada8085127ac332,67bc6c4dcaee2645fcfdee4cbb6ae8e57acf26098b304b31ae2015a2f4b3669e,46a2f024a625c23810f24f709b573ebd00933c19205c34480b09c60575d34a9a,inner_train_gene_library_size_applied_to_all_columns,cdc0b4e61da0fa13bcf385757d668db7b688f72faa60a8999d00fae89c00ac44
HBC,HBC_shared16112,Primary,1,10311,2578,3223,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold1_train_gene_idx.npy,6e62bbad175f2aaa6df1e9bb647e7adcdeadc72591877ab28245dcbff0363b30,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold1_val_gene_idx.npy,a360b611bda06d9e4cc17925d9e0e1215cdc6989f2b6546ba1020b48ff8867a4,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold1_test_gene_idx.npy,89d348c106fe410e5bd6f85aff16a978bd38b4406b96ed490b0f54c877a22d06,99b3725d9f95cfa74f78f928df5670db51e6ac10157093e61768f93ec44c911c,5dbc613e4298e8d83512b4ea4b2ceb71608b3e630e71a85027f4a0c387322af1,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,b70aa1ecdffc2713a0c0219e7c6212f306979b68e2420672866083c2c2c43ec1,860689a1e14fd0a96636b5acd46f80ab29abb16c129973f9015cec89f853a952,df0955d3b97233ceb71e203fcb560ff69d1984a2a2c4b3ca752fccdb5604e1ea,inner_train_gene_library_size_applied_to_all_columns,0c39b85e13e8767461ab7b767835dd9ac3bec852c034498c46e42021cd3ad1a0
HBC,HBC_shared16112,Primary,2,10312,2578,3222,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold2_train_gene_idx.npy,5615efb74616d0c80e8435991868790245143020fc88e691e677355667146182,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold2_val_gene_idx.npy,cd66c3485da98b37730a74b6241945037566355ecfdb478262f3db6fd5fcd041,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold2_test_gene_idx.npy,c3be12018dc6417829a992c180042316326aa1dee1f67df43376122d443c03dc,99b3725d9f95cfa74f78f928df5670db51e6ac10157093e61768f93ec44c911c,5dbc613e4298e8d83512b4ea4b2ceb71608b3e630e71a85027f4a0c387322af1,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,8d6b6c0fc8760daae4d4898b2e99c6e9d2e0ef7d016720186253954bdd4eae7f,abeea211297dabb41ef289bea12e5b121b2a39a95774dc5091d723b3fe2b961f,2c110806887ebf591f77235549a991650173aab0438a274e629d59f95fb89d04,inner_train_gene_library_size_applied_to_all_columns,28a271fdc9ab94d9d6bbcbc3209839af155dc5a8f4e667af726275bd3433fe8e
HBC,HBC_shared16112,Primary,3,10312,2578,3222,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold3_train_gene_idx.npy,9c7f0f0dfe9faea0e5c51061770d4b0f803b1cf356e515f5c0a80da7b27fd241,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold3_val_gene_idx.npy,8087243cdb7b39691bdcc01fc15801c95fdcb9dec09222e50eab655048232c36,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold3_test_gene_idx.npy,93256c82c034aaac186c28bd21d97e512d6827d756c1e1e95c1fa85812282c32,99b3725d9f95cfa74f78f928df5670db51e6ac10157093e61768f93ec44c911c,5dbc613e4298e8d83512b4ea4b2ceb71608b3e630e71a85027f4a0c387322af1,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,985462a41f207cd59c1e17d022b23942a28132b8e9ae6a383b1b3cf6b8a003fd,a4241d1df1d2d1049162f3c8e02279a61e0cb33463874bf2be4dcbb77beba88f,cc156aff85ce2fabd3fe65b476f6e4201b1b7f06acc22fde0e733bea66be2a86,inner_train_gene_library_size_applied_to_all_columns,88c8d61dc5290ac2c54f8d1709af1e4770594e63513639860f1de0eb7ab10460
HBC,HBC_shared16112,Primary,4,10312,2578,3222,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold4_train_gene_idx.npy,49d83a99de196efa3c7e88b1a6d9273297f2353ce77ce82098a58f7e174a4b41,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold4_val_gene_idx.npy,e14a2a75568077bd2411444d4cfc8f92b7bee577016a75c237de095a7922c328,frozen_splits/primary/HBC_shared16112/gene_index_masks/fold4_test_gene_idx.npy,e1c31c594a974e5f60b55ac5c075aa29b463436e11c5fb1f9762ce7f9b0f78ae,99b3725d9f95cfa74f78f928df5670db51e6ac10157093e61768f93ec44c911c,5dbc613e4298e8d83512b4ea4b2ceb71608b3e630e71a85027f4a0c387322af1,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,d50020a740ea5e7a2ae6535ae439a6c3cff009e35fe0ff94b6032d80871a06ef,b35a87f9824c9337de55069349d17042317b2f071317abe2acd6be8476771558,5b9d521f5480f415bee28075f980ec8da5143c8877a48522a2bb9336318853ff,inner_train_gene_library_size_applied_to_all_columns,70191dc06327bbad39e91af29a2bfc56f5500f138b558163b7e49f07e73054bb
