panel,dataset,dataset_id,fold,setting,control,model,source_kind,result_layer,readout,posthoc_calibration,matrix_scope,matrix_path,metadata_path,test_gene_idx_path,truth_path,gene_names_path,shape,dtype,compact_prediction_sha256,compact_prediction_bytes,metadata_sha256,test_gene_idx_sha256,source_prediction_relpath,source_prediction_sha256,source_prediction_array_sha256,truth_sha256,reported_SPCC,reported_RMSE,reported_JSD,reported_SSIM,reported_coverage
A,Vis9A,Vis9A_D7_spaim_effective4470,0,Correct,correct,mlp_pca32_softplus_correct,matched_gene_conditioned_baseline,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold0/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold0/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold0/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold0/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,cd1093dc5ed13e1d3457a0e98ac1d8ca8ef3bbe665d17fcddbaeb4214b197f4a,3268337,3e6e6f16369ae73f2db4d32d6b74f28c0b4066848e20273e43b644e704703ead,7480af17ae915418113f18506d281e07455a1e057935768e13ca90d158185a03,genespt/benchmark/Vis9A_D7_spaim_effective4470/fold0/protocol_a_genespt_prediction_matrices/gc_mlp_base/fold0/prediction.npz,e563b614331ffa7ed34806b83d4f1ee47e914a45b0c49f2e91bb43f8bb0d033b,f2f1545c06ef1d96ceec0c3d8e300bda87aaa3af58c44f16462599783f5b3db1,52241b098e2ddeab4fbda5f7e06413349476b6619520502e6b6b492cf2c2dcbc,0.1876979189486263,1.3057449916481931,0.4728188221389939,0.0356764556804615,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,0,Permuted,permuted_labels,mlp_pca32_softplus_permuted_labels,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold0/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold0/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold0/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold0/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,29d8daa4ae1fe75ceeba8755e2454d8e145201888166e430cfa62e8acfc6fc31,3196557,8142f37648151de025bc22fc08921d4c0cd68ea6409200f72993b3b55ed6483a,7480af17ae915418113f18506d281e07455a1e057935768e13ca90d158185a03,mechanism/figure3_a_descriptor_controls/fold0/permuted_labels/prediction.npz,4db324b7835df67a1199560ea94e13b30699e6b4fff679e08c941df509f2cc44,e216b6e1481f4f1bd6ec270eafdd42de6acc5999111ea8bb8da585fc08211cf3,52241b098e2ddeab4fbda5f7e06413349476b6619520502e6b6b492cf2c2dcbc,0.175818532415762,1.3188739257521311,0.4812148083378159,0.023074862517399,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,0,Random,random,mlp_pca32_softplus_random,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold0/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold0/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold0/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold0/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,d7870c6d67e45e732b30c2f4dd3619d5bd9f7396eaa56548db2bcec8ed354d7a,3236868,7ac9c23d1adfac476af80cf04080ff44b38468441274f4619f96de525ec8ce02,7480af17ae915418113f18506d281e07455a1e057935768e13ca90d158185a03,mechanism/figure3_a_descriptor_controls/fold0/random/prediction.npz,ee3a0c57f17d62955045891c07b0869c56d40ee0453f6ec1f911a3bbd07f0a21,765fa6cfe35fd08f34979ed98b4a1308c81a75ad254b7cba18716af2f8ae7bd0,52241b098e2ddeab4fbda5f7e06413349476b6619520502e6b6b492cf2c2dcbc,0.1750404720714103,1.318780014820266,0.479343495332403,0.0246899426295594,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,0,Shuffled,shuffled,mlp_pca32_softplus_shuffled,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/shuffled/fold0/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/shuffled/fold0/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/shuffled/fold0/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold0/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,7bc5791502f6a9829f0bb5f33768031af202ff3d11489b1a736df2d288690bf7,3121861,645f5271141dcee751ed8ffe714597a8109e0dd80f64fc8ae87c36acb4692b4d,7480af17ae915418113f18506d281e07455a1e057935768e13ca90d158185a03,mechanism/figure3_a_descriptor_controls/fold0/shuffled/prediction.npz,984790afb61aa0a683e80445ffdabb198f58aa95251ca4ad547122d4534c915c,2adf449f8070a597cb5340cd47adadf8cc9cc0058d2805a86ae891dda88eb9e6,52241b098e2ddeab4fbda5f7e06413349476b6619520502e6b6b492cf2c2dcbc,0.17708942279142,1.31879362896659,0.4835520307415329,0.0207274523211302,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,1,Correct,correct,mlp_pca32_softplus_correct,matched_gene_conditioned_baseline,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold1/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold1/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold1/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold1/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,0e7caa1d3dad9d3d7da4a5b268ca3740912ae2a5362c52309d4740196744b09e,3261916,5222437f09c37f3f4e57025e710f04e2228d51be85a85e169830830c85dfcc2c,46c82b360e5dd491a62e06fe287cabbbb9ab55a291aff6a677d1cf559ab5e174,genespt/benchmark/Vis9A_D7_spaim_effective4470/fold1/protocol_a_genespt_prediction_matrices/gc_mlp_base/fold1/prediction.npz,4740b758b70223ff89178f358a48aad5a1f726cfcf453d14a66ada9ad1bd4f3f,e56dd364f5fa08e01dfae571fcbe60bee4963c67fbbb7a68dcec39160acac805,54433fb86021e584309c12afc71860af73aa7c39c0bc58f9dc37d566918afce2,0.192562002521587,1.2991916195545858,0.4637628450674831,0.0363648289094772,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,1,Permuted,permuted_labels,mlp_pca32_softplus_permuted_labels,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold1/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold1/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold1/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold1/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,2a75f9983cb73530c00ad615818ab25cf7c53a10f2a99dd02b404841d704cda2,3271061,42bd980dc95a38e2aff18ff485d6c4693828c1737006e964491f5ce76f4075e8,46c82b360e5dd491a62e06fe287cabbbb9ab55a291aff6a677d1cf559ab5e174,mechanism/figure3_a_descriptor_controls/fold1/permuted_labels/prediction.npz,63f0c44b73428bc034eda5cbe1485f8bbc64e02a205b3486ae97c0ae8ca8da49,b42fd1417bf5c9290f906fcd3e82abfbaf54f2721be1c64c4fa1cd0792d2a17e,54433fb86021e584309c12afc71860af73aa7c39c0bc58f9dc37d566918afce2,0.182250752366991,1.312391899211999,0.4657071594829964,0.0281638010208526,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,1,Random,random,mlp_pca32_softplus_random,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold1/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold1/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold1/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold1/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,b1f863cee22b1fc7c4a3a2ca92a8fa850bb38367595ef5c190e3279e57425c38,3213605,85a53e4e58caac42ef611f1e9201fd69f143c3d0c9661e634f33743273e4fef7,46c82b360e5dd491a62e06fe287cabbbb9ab55a291aff6a677d1cf559ab5e174,mechanism/figure3_a_descriptor_controls/fold1/random/prediction.npz,e1145277c80b175564c4d4ca828c2360acce2607fd2b349d941a3aed3da17338,5f9c246049e3ba62e8046bca32e34cd24dc80dbed922a194ad55333b78f0dfd2,54433fb86021e584309c12afc71860af73aa7c39c0bc58f9dc37d566918afce2,0.1805406100797001,1.3090829228179863,0.4682013416379242,0.0304047374507547,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,1,Shuffled,shuffled,mlp_pca32_softplus_shuffled,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/shuffled/fold1/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/shuffled/fold1/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/shuffled/fold1/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold1/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,dcb4a7c5deffaceaae9d96532ba8ee8bb61c3f246e336c0a30cee73b3843d0cb,3129625,13a3a05a670b5096a6af6005e030e8843a57d9569d80cd61dede6db4c66ce597,46c82b360e5dd491a62e06fe287cabbbb9ab55a291aff6a677d1cf559ab5e174,mechanism/figure3_a_descriptor_controls/fold1/shuffled/prediction.npz,abddf52faeb33191358a1c17ecbe0bf9737a07a06082f400a80f746f50c94efa,d50f5dc61144d6883ec9ab56f1d6510c7124679ba29689a566bad0e36aa787d3,54433fb86021e584309c12afc71860af73aa7c39c0bc58f9dc37d566918afce2,0.181148023985979,1.3087639403018805,0.4734033286417741,0.0248050383220259,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,2,Correct,correct,mlp_pca32_softplus_correct,matched_gene_conditioned_baseline,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold2/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold2/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold2/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold2/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,071a80cb6bf4783f47ef030638fa4bafde5fb3febbe2dc3681ead3e4e8368e7a,3268617,a79914bdd6d4bce3b71c667244c2cef4756f33c76be3613089c7efab87936854,171131c765a7dd984b0a392ab8c32d322a7a5c01d6a97cc995e2d5c67d30140d,genespt/benchmark/Vis9A_D7_spaim_effective4470/fold2/protocol_a_genespt_prediction_matrices/gc_mlp_base/fold2/prediction.npz,5d2ecfdcf6860d63731e7422f7e894e45c9f9fe31e28f14ec201686882d68c2b,b18996d9cdb8b208e4cee51a3755ffb99dcef901edb601cab1cc816b5b3e4da6,7f9f17c9c7d569e036efb0ea6d20d251f8621bdd38c7b478b790f62291ac1356,0.192601255248822,1.2939627851028468,0.4721168536699091,0.0341397893741482,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,2,Permuted,permuted_labels,mlp_pca32_softplus_permuted_labels,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold2/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold2/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold2/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold2/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,456ee2f00e43a2dde1cc79c92f98174a3e6041d55ac07a5f47e8ebbf21e8fd10,3211301,ef56b7bfc962f0e368202505749f2b917cd45a0b7c2713892c0ea57d095c927e,171131c765a7dd984b0a392ab8c32d322a7a5c01d6a97cc995e2d5c67d30140d,mechanism/figure3_a_descriptor_controls/fold2/permuted_labels/prediction.npz,7ebfe9dc863fe7d1a216d7bcc655a87a5d028f7a4f1a3a39db889c62f1f1fe83,ddfd2c91c3938bd48b7b2f1ba4470a39fd13bab2c4a08e5405a568cdac61a915,7f9f17c9c7d569e036efb0ea6d20d251f8621bdd38c7b478b790f62291ac1356,0.1843247823412831,1.305776448636113,0.4761339053285472,0.026012685659711,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,2,Random,random,mlp_pca32_softplus_random,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold2/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold2/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold2/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold2/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,02326506a2869c6c9b496d4f4071743b4c65c791cbf6bf5b222c95a55a010c58,3220553,5585791cf5726590db250cf441c5e88f9612a823eb2c2ac5f16758771fcd1223,171131c765a7dd984b0a392ab8c32d322a7a5c01d6a97cc995e2d5c67d30140d,mechanism/figure3_a_descriptor_controls/fold2/random/prediction.npz,aa2cf463be07d1ee3f90d117efdd5201d0e9e2ffff9e16520e6dd33900e552eb,5bcd2c7948c5d2cacef36eacbdb670d6e9421ddbcddac92233efa0859bf35253,7f9f17c9c7d569e036efb0ea6d20d251f8621bdd38c7b478b790f62291ac1356,0.1816139201191187,1.3050606859892806,0.4724987067817514,0.0300180281665637,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,2,Shuffled,shuffled,mlp_pca32_softplus_shuffled,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/shuffled/fold2/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/shuffled/fold2/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/shuffled/fold2/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold2/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,fc3fa3d8227d2114a42e8ad15c6c560f4d87501e8c0eb5aed9e958a3bde1d9e0,3215566,1f3235a6692a048862b56a2fdaac2e389cca6eca2d54b9adc27c07307fcaff9e,171131c765a7dd984b0a392ab8c32d322a7a5c01d6a97cc995e2d5c67d30140d,mechanism/figure3_a_descriptor_controls/fold2/shuffled/prediction.npz,4a8f9964842a2e8103980bbd6d2ba38309131a36d272b16d2907ee7679ff0ac4,2a01889b46214ba0d5d55f4fdf4f65eb4a5aeb589fa2a19ee65a0d7516339060,7f9f17c9c7d569e036efb0ea6d20d251f8621bdd38c7b478b790f62291ac1356,0.1846212473627121,1.3059347359411664,0.4734549422820968,0.0283042906409268,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,3,Correct,correct,mlp_pca32_softplus_correct,matched_gene_conditioned_baseline,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold3/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold3/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/correct/fold3/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold3/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,68f848168ecac766badd072e869435c756117a1c698d7b3fd353e09b287858f5,3256936,8fc4bf9fc9e3991bd8b2fbb89e1f205d3cd6ae2ffbfe114c7eb81d1f0448b442,d55ef121d713cd02df05b594f535b51173615252a8f9a6e67d2b6cd966f3a48f,genespt/benchmark/Vis9A_D7_spaim_effective4470/fold3/protocol_a_genespt_prediction_matrices/gc_mlp_base/fold3/prediction.npz,967f3311a18b64dc40f744ead4ba8dab85b17581b2c90431093d32210d8e353a,6145c69b02c480081e08f67ac0a7b7cf9e8b066c0a3e4c36bc8a5b10f95a6675,909ae020d5db5c19b8bb87ea85b035eabf3222463ca736ec0f1db699da5e87c8,0.1932372715627289,1.29115466938625,0.4596965076221304,0.045890480944393,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,3,Permuted,permuted_labels,mlp_pca32_softplus_permuted_labels,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold3/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold3/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/permuted_labels/fold3/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold3/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,f5f87c9129f1ee4c6233c19270c0c474c31503fd413a89d5d63e3c8c330b42bc,3180527,fac45e8dc0dadfb66046aaab0139b154881144a8bcfc22426beebe1e46a73808,d55ef121d713cd02df05b594f535b51173615252a8f9a6e67d2b6cd966f3a48f,mechanism/figure3_a_descriptor_controls/fold3/permuted_labels/prediction.npz,e4876fd2a2b3e501d2001b1103915066122015b4abfc4800a4f06a050b234bd2,9f383d08719fdcf3aa54526bf7ad1fb7018764e4b720f3901750d28088aac4c6,909ae020d5db5c19b8bb87ea85b035eabf3222463ca736ec0f1db699da5e87c8,0.1858807913855768,1.3005788989363802,0.4720690176680708,0.0302858571127663,1.0
A,Vis9A,Vis9A_D7_spaim_effective4470,3,Random,random,mlp_pca32_softplus_random,formal_descriptor_only_control,figure3_a_descriptor_controls,identity,none,final_test_genes,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold3/prediction.npz,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold3/metadata.json,mechanism_ablation_prediction_matrices/panel_a/Vis9A_D7_spaim_effective4470/random/fold3/test_gene_idx.npy,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold3/truth.npz,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,579d13bcb190f81a33a1f16a227ff1d149ae1561c5758c0011ee1140cee9fa00,3230528,cbbea04a14894c2f9f44feede15f6678c8f6b548bc549cdf79a7f962ca70e60c,d55ef121d713cd02df05b594f535b51173615252a8f9a6e67d2b6cd966f3a48f,mechanism/figure3_a_descriptor_controls/fold3/random/prediction.npz,ce00201adbcb0cac4e51374f40e114f6258046c6a0e766de8441d996bf047220,5e6d41e57de1e8007b02d1c40b6d3582ae5f8cddcdd51937863d1b38a14307b3,909ae020d5db5c19b8bb87ea85b035eabf3222463ca736ec0f1db699da5e87c8,0.1864057651443587,1.3017240637112233,0.4641909179065099,0.034981705384509,1.0
