dataset,dataset_id,role,fold,truth_path,metadata_path,test_gene_idx_path,gene_names_path,shape,dtype,truth_sha256,truth_bytes,test_gene_idx_sha256,source_full_truth_sha256,normalization
Vis9A,Vis9A_D7_spaim_effective4470,Primary,0,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold0/truth.npz,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold0/metadata.json,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold0/test_gene_idx.npy,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,52241b098e2ddeab4fbda5f7e06413349476b6619520502e6b6b492cf2c2dcbc,666345,7480af17ae915418113f18506d281e07455a1e057935768e13ca90d158185a03,3a11246c5abf1b38e73b930aef904017107514e9c46c631298275631abd88e7a,log1p_cpm_with_inner_train_gene_library_size
Vis9A,Vis9A_D7_spaim_effective4470,Primary,1,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold1/truth.npz,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold1/metadata.json,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold1/test_gene_idx.npy,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,54433fb86021e584309c12afc71860af73aa7c39c0bc58f9dc37d566918afce2,700092,46c82b360e5dd491a62e06fe287cabbbb9ab55a291aff6a677d1cf559ab5e174,aa4afe2e140d5c6cf1b1e39083275fe8337a29b9781d2778345df6f5ad0b938d,log1p_cpm_with_inner_train_gene_library_size
Vis9A,Vis9A_D7_spaim_effective4470,Primary,2,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold2/truth.npz,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold2/metadata.json,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold2/test_gene_idx.npy,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,7f9f17c9c7d569e036efb0ea6d20d251f8621bdd38c7b478b790f62291ac1356,682116,171131c765a7dd984b0a392ab8c32d322a7a5c01d6a97cc995e2d5c67d30140d,37aefd78544092b3c91928607940a65f7c8df7234104fe9af5c775a45dd5f254,log1p_cpm_with_inner_train_gene_library_size
Vis9A,Vis9A_D7_spaim_effective4470,Primary,3,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold3/truth.npz,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold3/metadata.json,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold3/test_gene_idx.npy,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,909ae020d5db5c19b8bb87ea85b035eabf3222463ca736ec0f1db699da5e87c8,720086,d55ef121d713cd02df05b594f535b51173615252a8f9a6e67d2b6cd966f3a48f,0db25ee1c3756010c628f55c835c7affc4c0435be50815f94694dbc969e52004,log1p_cpm_with_inner_train_gene_library_size
Vis9A,Vis9A_D7_spaim_effective4470,Primary,4,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold4/truth.npz,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold4/metadata.json,ground_truth_protocol_a/Vis9A_D7_spaim_effective4470/fold4/test_gene_idx.npy,ground_truth/Vis9A_D7_spaim_effective4470/gene_names.txt,"[995,894]",float32,d9dc6d56ebb13f700360ec0162c7605c8d1d7d29130152919c1ac41e706d0990,706205,1c103fefb542a56adead736a68e00112100b512663b8d80695177b5aac4244a0,dff0a435cc3e6bd29774484272a240cd69c35056baf7e752e762f09a1a2cdb84,log1p_cpm_with_inner_train_gene_library_size
HBC,HBC_shared16112,Primary,0,ground_truth_protocol_a/HBC_shared16112/fold0/truth.npz,ground_truth_protocol_a/HBC_shared16112/fold0/metadata.json,ground_truth_protocol_a/HBC_shared16112/fold0/test_gene_idx.npy,ground_truth/HBC_shared16112/gene_names.txt,"[4784,3223]",float32,fefe08be24364ad8313f9213fa455e4629ecf3e3dd22df5e5c546c956cf89426,10465764,a3f4969b2064f41c0446caa29c91b0a0bd97fba5a7bb664ac4176083afeb2f85,67bc6c4dcaee2645fcfdee4cbb6ae8e57acf26098b304b31ae2015a2f4b3669e,log1p_cpm_with_inner_train_gene_library_size
HBC,HBC_shared16112,Primary,1,ground_truth_protocol_a/HBC_shared16112/fold1/truth.npz,ground_truth_protocol_a/HBC_shared16112/fold1/metadata.json,ground_truth_protocol_a/HBC_shared16112/fold1/test_gene_idx.npy,ground_truth/HBC_shared16112/gene_names.txt,"[4784,3223]",float32,5fe1b0f6789391d23d6877cacb114e8378e331264d1204d1be25eb004d741045,9943733,89d348c106fe410e5bd6f85aff16a978bd38b4406b96ed490b0f54c877a22d06,860689a1e14fd0a96636b5acd46f80ab29abb16c129973f9015cec89f853a952,log1p_cpm_with_inner_train_gene_library_size
HBC,HBC_shared16112,Primary,2,ground_truth_protocol_a/HBC_shared16112/fold2/truth.npz,ground_truth_protocol_a/HBC_shared16112/fold2/metadata.json,ground_truth_protocol_a/HBC_shared16112/fold2/test_gene_idx.npy,ground_truth/HBC_shared16112/gene_names.txt,"[4784,3222]",float32,551e67bd77ed3890fbe8b905a2d4952de8adb65cff66c01e487fa24aa78680a3,10235449,c3be12018dc6417829a992c180042316326aa1dee1f67df43376122d443c03dc,abeea211297dabb41ef289bea12e5b121b2a39a95774dc5091d723b3fe2b961f,log1p_cpm_with_inner_train_gene_library_size
HBC,HBC_shared16112,Primary,3,ground_truth_protocol_a/HBC_shared16112/fold3/truth.npz,ground_truth_protocol_a/HBC_shared16112/fold3/metadata.json,ground_truth_protocol_a/HBC_shared16112/fold3/test_gene_idx.npy,ground_truth/HBC_shared16112/gene_names.txt,"[4784,3222]",float32,a1e2f517de9d6cc0b4961e0ff930f876ff3494e55b5133b715315aa900d5e091,10332266,93256c82c034aaac186c28bd21d97e512d6827d756c1e1e95c1fa85812282c32,a4241d1df1d2d1049162f3c8e02279a61e0cb33463874bf2be4dcbb77beba88f,log1p_cpm_with_inner_train_gene_library_size
HBC,HBC_shared16112,Primary,4,ground_truth_protocol_a/HBC_shared16112/fold4/truth.npz,ground_truth_protocol_a/HBC_shared16112/fold4/metadata.json,ground_truth_protocol_a/HBC_shared16112/fold4/test_gene_idx.npy,ground_truth/HBC_shared16112/gene_names.txt,"[4784,3222]",float32,fa87c520c12c58ef57bc3a94d373378d7c6edb95b82ec73fdcef97398fcbd2f3,10461729,e1c31c594a974e5f60b55ac5c075aa29b463436e11c5fb1f9762ce7f9b0f78ae,b35a87f9824c9337de55069349d17042317b2f071317abe2acd6be8476771558,log1p_cpm_with_inner_train_gene_library_size
