dataset,dataset_id,role,fold,method,candidate_count,selected_calibration,feature_kind,model_kind,target_mode,alpha,selection_rule,guard_pass,seed,test_prediction_accessed_before_lock,test_truth_accessed_before_lock,source_selection_lock_sha256,public_selection_lock_path,public_selection_lock_sha256,candidate_table_path
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,primary,0,GeneSPT,57,pca32_nmf32_ridge_mean_only_alpha10,pca32_nmf32,ridge,mean_only,10.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,b5756b28c57fea1088745b0f82cb8c0c6265bd35b9c3d7595926f3e7befb360b,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold0/selection_lock_public.json,d54a1c97f46940b7e78afb46a5daefe5a8ddd7abb0f0b5cdf8da23f144e52eec,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold0/GeneSPT/validation_candidates.csv
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,primary,0,GeneSPT-GC,57,pca32_nmf32_ridge_affine_alpha1,pca32_nmf32,ridge,affine,1.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,b5756b28c57fea1088745b0f82cb8c0c6265bd35b9c3d7595926f3e7befb360b,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold0/selection_lock_public.json,d54a1c97f46940b7e78afb46a5daefe5a8ddd7abb0f0b5cdf8da23f144e52eec,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold0/GeneSPT-GC/validation_candidates.csv
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,primary,1,GeneSPT,57,global_affine,,,,,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,d9db00e25dab7a0ab02d145f8fd5458b81b2ea8e0bdaa53886a4a3683a24a174,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold1/selection_lock_public.json,a05f399c6c524ace16d687403a8306b9f1725b80cd9e6e381ca2fac3aa96282b,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold1/GeneSPT/validation_candidates.csv
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,primary,1,GeneSPT-GC,57,nmf32_elasticnet_affine_alpha0.01,nmf32,elasticnet,affine,0.01,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,d9db00e25dab7a0ab02d145f8fd5458b81b2ea8e0bdaa53886a4a3683a24a174,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold1/selection_lock_public.json,a05f399c6c524ace16d687403a8306b9f1725b80cd9e6e381ca2fac3aa96282b,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold1/GeneSPT-GC/validation_candidates.csv
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,primary,2,GeneSPT,57,pca32_nmf32_elasticnet_mean_only_alpha0.01,pca32_nmf32,elasticnet,mean_only,0.01,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,023cfdb572519e3de84bac3faa1f55e55486284900a191a12046f5bd70e6316c,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold2/selection_lock_public.json,e3973f868186588a12e7b0b94a215ae12bcb8c24628710fb9790af083bb89efe,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold2/GeneSPT/validation_candidates.csv
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,primary,2,GeneSPT-GC,57,nmf32_ridge_affine_alpha100,nmf32,ridge,affine,100.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,023cfdb572519e3de84bac3faa1f55e55486284900a191a12046f5bd70e6316c,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold2/selection_lock_public.json,e3973f868186588a12e7b0b94a215ae12bcb8c24628710fb9790af083bb89efe,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold2/GeneSPT-GC/validation_candidates.csv
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,primary,3,GeneSPT,57,global_affine,,,,,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,548246e9607705cacf6bd6acc917475edf870b40b3f05b26bf981b4d0c309276,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold3/selection_lock_public.json,a517654311cef0336b38e83216fd4397b16b3479d925461e33080a7f3acf4eba,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold3/GeneSPT/validation_candidates.csv
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,primary,3,GeneSPT-GC,57,nmf32_ridge_affine_alpha0.1,nmf32,ridge,affine,0.1,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,548246e9607705cacf6bd6acc917475edf870b40b3f05b26bf981b4d0c309276,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold3/selection_lock_public.json,a517654311cef0336b38e83216fd4397b16b3479d925461e33080a7f3acf4eba,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold3/GeneSPT-GC/validation_candidates.csv
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,primary,4,GeneSPT,57,global_affine,,,,,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,6976df1aea4b250038f55ce608682810d688f84182a2f87ba98705921f871ace,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold4/selection_lock_public.json,23f0ed57399ae64315dc31215d428b056f4d19e01c118b9d4a06846ba6d34039,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold4/GeneSPT/validation_candidates.csv
Cell2location,Cell2location_mouse_brain_ST8059048_shared12819,primary,4,GeneSPT-GC,57,nmf32_elasticnet_affine_alpha0.001,nmf32,elasticnet,affine,0.001,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,6976df1aea4b250038f55ce608682810d688f84182a2f87ba98705921f871ace,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold4/selection_lock_public.json,23f0ed57399ae64315dc31215d428b056f4d19e01c118b9d4a06846ba6d34039,protocol_a_reproducibility/readout_selections/Cell2location_mouse_brain_ST8059048_shared12819/fold4/GeneSPT-GC/validation_candidates.csv
