n_cells,n_input_features,n_selected_features,n_pcs,n_clusters,n_predicted_test_genes_participating,cluster_membership_sha256,ARI,AMI,NMI,homogeneity,dataset,dataset_id,fold,method,prediction_result_layer,matrix_mode,n_measured_train_genes,n_measured_validation_genes,n_predicted_test_genes_loaded
4975,154,154,30,12,31,ba87951da4f453b89cb8b66012994c359193495c100a2fcb64f7251b8f14fefe,0.45117321745121186,0.5882147218871644,0.5913889027518694,0.6034904064444344,MHPR/MERFISH,MHPR_current_panel,0,GeneSPT,validation_selected_readout_genespt57,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,13,31,79ee1d27aebb4eb4c54d010c43c2e4630973584df12e482e113f580057c57271,0.3513373306050147,0.5519897324121334,0.5556512213202682,0.5959495217681632,MHPR/MERFISH,MHPR_current_panel,0,Tangram,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,13,31,d6b9ceb4886664b904e47bd2206817aafe7aa3f0d45dfb27287bce6bd079734d,0.4306407078391218,0.5894567587772434,0.5927768308358374,0.6351494406526706,MHPR/MERFISH,MHPR_current_panel,0,TransImp,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,13,31,ca3d197cb69323353fc1df30040d02d23972a704f62355f07a793b52bb750e89,0.32539213594898714,0.5323373008557759,0.5362132778540939,0.5653538499862629,MHPR/MERFISH,MHPR_current_panel,0,SpaIM,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,12,31,01fbe01f0b5acbfaaadee34eb60d3d06d7d02a8985f78408294f213d8f4ea1e2,0.4174888442921605,0.5634269325400507,0.5667046862747956,0.598860203428827,MHPR/MERFISH,MHPR_current_panel,0,SpaGE,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,12,31,81f59bb8d00edb0228b4b0d83117ecb267c8253854d379b0ed3e17d75ea1010f,0.49290538856317273,0.614033683919096,0.6169796529634188,0.6369451639994305,MHPR/MERFISH,MHPR_current_panel,0,stPlus,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,15,31,99d1f4ceacfbb05ea837200c8380eff0ab1831faaf94cb01124fd3fd8fdc23cf,0.33537810980150123,0.5663133775420985,0.5703502254079458,0.6185717767751076,MHPR/MERFISH,MHPR_current_panel,0,stAI,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,10,31,e2035c96e2da2e0d24b773f2a0444bf812f319124a6f99161425fd419f71f03d,0.4235244674191204,0.5506997116430062,0.5535627221746784,0.5619392812225862,MHPR/MERFISH,MHPR_current_panel,1,GeneSPT,validation_selected_readout_genespt57,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,14,31,f1b1a9c80466e9f6ca9125eeb37c829d36ba1b50a92872a67f6c2c914c1be68c,0.3142056559350497,0.4851320483928423,0.4895583460231167,0.5349566340590863,MHPR/MERFISH,MHPR_current_panel,1,Tangram,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,13,31,cd28d10032b234e8a658387954d8acb87df18ae450acfa631a9b89afdc1802d6,0.35440609543285156,0.5460889452830832,0.549777909162778,0.5934730245099409,MHPR/MERFISH,MHPR_current_panel,1,TransImp,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,13,31,7ca35305077eab40af6a0b82ee8da163e331dbde1d1f5cd83feaee647eb94704,0.3065655533497751,0.505268880774179,0.5092702310223373,0.5527833356486198,MHPR/MERFISH,MHPR_current_panel,1,SpaIM,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,14,31,1bb2c7327871a963262f3020ebcd2e44751f157b4d878907c5766bb1d27322dc,0.3526319650811697,0.5151236050363666,0.5192908419366646,0.5674065621380568,MHPR/MERFISH,MHPR_current_panel,1,SpaGE,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
