dataset,dataset_id,role,method,result_layer,folds,SPCC,RMSE,JSD,SSIM,SPCC_std_ddof0,RMSE_std_ddof0,JSD_std_ddof0,SSIM_std_ddof0,coverage,SPCC_rank,RMSE_rank,JSD_rank,SSIM_rank,metric_source_package_relative_path,metric_source_sha256
Vis9A,Vis9A_D7_spaim_effective4470,primary,GeneSPT,validation_selected_readout_genespt57,5,0.1966723298273021,1.2925292360611569,0.453760811904749,0.0624910672301728,0.0037961428454587,0.0074777751080291,0.0052875135786753,0.0101498721175813,1.0,1,1,1,1,GeneSPT/results/protocol_a_full_rerun_20260711/evaluation/formal_benchmark_evidence/formal_five_fold_metrics.csv,17372e5a229ea8632991a94527ab9d916cc1661008aaee450650ad872e861fdd
Vis9A,Vis9A_D7_spaim_effective4470,primary,SpaIM,raw_identity,5,0.1821944197227947,1.3046664779874075,0.4700719667496461,0.0389025842457098,0.005303770308832,0.0072328676378785,0.0046963589049038,0.0033805984280821,1.0,3,3,5,7,GeneSPT/results/protocol_a_full_rerun_20260711/evaluation/formal_benchmark_evidence/formal_five_fold_metrics.csv,17372e5a229ea8632991a94527ab9d916cc1661008aaee450650ad872e861fdd
Vis9A,Vis9A_D7_spaim_effective4470,primary,Tangram,raw_identity,5,0.1836741692851959,1.2967929333584638,0.4670073758932709,0.0454692986145567,0.0058887375684147,0.0070360344318715,0.0052128295417497,0.0047111936262895,1.0,2,2,3,6,GeneSPT/results/protocol_a_full_rerun_20260711/evaluation/formal_benchmark_evidence/formal_five_fold_metrics.csv,17372e5a229ea8632991a94527ab9d916cc1661008aaee450650ad872e861fdd
Vis9A,Vis9A_D7_spaim_effective4470,primary,TransImp,raw_identity,5,0.1329725747005191,1.3343857743077672,0.4733887532225737,0.0605508713476198,0.0043579263074733,0.0043053062688819,0.0045843325338748,0.0050835942190646,1.0,6,6,6,2,GeneSPT/results/protocol_a_full_rerun_20260711/evaluation/formal_benchmark_evidence/formal_five_fold_metrics.csv,17372e5a229ea8632991a94527ab9d916cc1661008aaee450650ad872e861fdd
Vis9A,Vis9A_D7_spaim_effective4470,primary,SpaGE,raw_identity,5,0.1404028367313972,1.3306257189179629,0.4692790899545448,0.0543256416902548,0.002814152007706,0.0044095961154795,0.0040300411609978,0.0037147410716344,1.0,5,5,4,4,GeneSPT/results/protocol_a_full_rerun_20260711/evaluation/formal_benchmark_evidence/formal_five_fold_metrics.csv,17372e5a229ea8632991a94527ab9d916cc1661008aaee450650ad872e861fdd
Vis9A,Vis9A_D7_spaim_effective4470,primary,stPlus,raw_identity,5,0.1149404972010587,1.337552575485326,0.4737035218901651,0.0525165278560915,0.0083596750313549,0.007365235125073,0.0057601583479029,0.0087516938930314,1.0,7,7,7,5,GeneSPT/results/protocol_a_full_rerun_20260711/evaluation/formal_benchmark_evidence/formal_five_fold_metrics.csv,17372e5a229ea8632991a94527ab9d916cc1661008aaee450650ad872e861fdd
Vis9A,Vis9A_D7_spaim_effective4470,primary,stAI,raw_identity,5,0.1612240157779448,1.3159674958174437,0.4607277610844528,0.0589673873373961,0.0059074597638927,0.0052345457730897,0.0049226040644036,0.0049121176455355,1.0,4,4,2,3,GeneSPT/results/protocol_a_full_rerun_20260711/evaluation/formal_benchmark_evidence/formal_five_fold_metrics.csv,17372e5a229ea8632991a94527ab9d916cc1661008aaee450650ad872e861fdd
HBC,HBC_shared16112,primary,GeneSPT,validation_selected_readout_genespt57,5,0.1079077050411124,1.3646063147210636,0.5273808568909473,0.0182231544652671,0.0017734814597122,0.0011689504124235,0.0058094093538293,0.0008598855857213,1.0,1,1,1,4,GeneSPT/results/protocol_a_full_rerun_20260711/evaluation/formal_benchmark_evidence/formal_five_fold_metrics.csv,17372e5a229ea8632991a94527ab9d916cc1661008aaee450650ad872e861fdd
HBC,HBC_shared16112,primary,SpaIM,raw_identity,5,0.0978256485534317,1.3703922199094405,0.535914705357881,0.0116971363935874,0.0014119050591986,0.0009060187681956,0.0063399795291246,0.0008512852137051,1.0,2,3,3,6,GeneSPT/results/protocol_a_full_rerun_20260711/evaluation/formal_benchmark_evidence/formal_five_fold_metrics.csv,17372e5a229ea8632991a94527ab9d916cc1661008aaee450650ad872e861fdd
HBC,HBC_shared16112,primary,Tangram,raw_identity,5,0.0968215386335554,1.3671372006748366,0.5351236138333864,0.0142641784264222,0.0019433815125883,0.0009962009905721,0.0056244611147451,0.0003885402281104,1.0,3,2,2,5,GeneSPT/results/protocol_a_full_rerun_20260711/evaluation/formal_benchmark_evidence/formal_five_fold_metrics.csv,17372e5a229ea8632991a94527ab9d916cc1661008aaee450650ad872e861fdd
