panel,dataset,metric,metric_label,setting,control,value,fold_sd_ddof0,baseline_value,improvement,improvement_fold_sd_ddof0,improvement_definition,n_folds,result_layer,uncertainty_displayed,horizontal_line_semantics,source_data_path,source_data_sha256
A,Vis9A,SPCC,SPCC,Correct,correct,0.19296237350722384,0.0034972927028987816,,,,,5,figure3_a_descriptor_controls,fold_sd_ddof0,fold_sd_error_bar,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
A,Vis9A,SPCC,SPCC,Random,random,0.18279403104438904,0.005234861944361792,,,,,5,figure3_a_descriptor_controls,fold_sd_ddof0,fold_sd_error_bar,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
A,Vis9A,SPCC,SPCC,Shuffled,shuffled,0.18388439861009248,0.004702421403177279,,,,,5,figure3_a_descriptor_controls,fold_sd_ddof0,fold_sd_error_bar,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
A,Vis9A,SPCC,SPCC,Permuted,permuted_labels,0.1839395913922846,0.005073919265117058,,,,,5,figure3_a_descriptor_controls,fold_sd_ddof0,fold_sd_error_bar,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
B,Vis9A,SPCC,Delta SPCC,GeneSPT,GeneSPT-GC,0.19684220144710146,0.003660460030772903,0.19296237350722387,0.0038798279398776004,0.0008111643374253708,GeneSPT_SPCC_minus_GeneSPT-GC_SPCC,5,matched_identity_readout,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3b_improvements.csv,978705ae23f96a3e611e7ed57a98dc0402c812f9d2158be6c3f558a2db65f058
B,HBC,SPCC,Delta SPCC,GeneSPT,GeneSPT-GC,0.10798811874058263,0.0018399567643738704,0.10188442918871435,0.006103689551868244,0.0010262788515193904,GeneSPT_SPCC_minus_GeneSPT-GC_SPCC,5,matched_identity_readout,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3b_improvements.csv,978705ae23f96a3e611e7ed57a98dc0402c812f9d2158be6c3f558a2db65f058
B,Cell2location,SPCC,Delta SPCC,GeneSPT,GeneSPT-GC,0.18740871859158728,0.0024308994827537483,0.17207380214693074,0.015334916444656515,0.0023059449110954984,GeneSPT_SPCC_minus_GeneSPT-GC_SPCC,5,matched_identity_readout,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3b_improvements.csv,978705ae23f96a3e611e7ed57a98dc0402c812f9d2158be6c3f558a2db65f058
C,Vis9A,SPCC,SPCC improvement over GeneSPT-GC,Correct PSP,correct,0.19684220144710146,0.0036604600307729314,0.19296237350722384,0.0038798279398776225,,setting_SPCC_minus_GeneSPT-GC_SPCC,5,figure3_c_primary_mechanism_controls,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
C,Vis9A,SPCC,SPCC improvement over GeneSPT-GC,GC-only,base,0.19296237350722384,0.0034972927028987816,0.19296237350722384,0.0,,setting_SPCC_minus_GeneSPT-GC_SPCC,5,figure3_c_primary_mechanism_controls,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
C,Vis9A,SPCC,SPCC improvement over GeneSPT-GC,Shuffled descriptor,shuffled_descriptor,0.19139015712800198,0.003367160567393127,0.19296237350722384,-0.0015722163792218635,,setting_SPCC_minus_GeneSPT-GC_SPCC,5,figure3_c_primary_mechanism_controls,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
C,Vis9A,SPCC,SPCC improvement over GeneSPT-GC,Random descriptor,random_descriptor,0.1914106260988081,0.00395660343811988,0.19296237350722384,-0.0015517474084157379,,setting_SPCC_minus_GeneSPT-GC_SPCC,5,figure3_c_primary_mechanism_controls,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
C,Vis9A,SPCC,SPCC improvement over GeneSPT-GC,Permuted labels,permuted_labels,0.1915403374175974,0.003973950018569034,0.19296237350722384,-0.0014220360896264328,,setting_SPCC_minus_GeneSPT-GC_SPCC,5,figure3_c_primary_mechanism_controls,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
C,Vis9A,SPCC,SPCC improvement over GeneSPT-GC,Random spatial basis,random_spatial_basis,0.176936379831491,0.00863822616580915,0.19296237350722384,-0.016025993675732847,,setting_SPCC_minus_GeneSPT-GC_SPCC,5,figure3_c_primary_mechanism_controls,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
C,Vis9A,SPCC,SPCC improvement over GeneSPT-GC,Spot-permuted program,spot_permuted_spatial_program,0.1856471077074975,0.004542045253317422,0.19296237350722384,-0.007315265799726328,,setting_SPCC_minus_GeneSPT-GC_SPCC,5,figure3_c_primary_mechanism_controls,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
C,Vis9A,SPCC,SPCC improvement over GeneSPT-GC,Mean coefficient,mean_coefficient,0.19192908988878546,0.0038349617491120662,0.19296237350722384,-0.0010332836184383798,,setting_SPCC_minus_GeneSPT-GC_SPCC,5,figure3_c_primary_mechanism_controls,none,zero_reference_connector,results/protocol_a_full_rerun_20260711/supplementary/S3/supplementary_table_s3_five_fold_summary.csv,e03af961866eebf884180856d115317882b6601a80fcb0d191c4fe2a4b8f3baa
