figure,panel_id,panel_row,panel_column,dataset_id,gene,fold,gene_idx,pattern_type,method,result_layer,source_package_relative_path,source_sha256,source_array,source_column_index,source_column_semantics,coordinate_package_relative_path,coordinate_sha256,spot_count,raw_min,raw_max,visual_clip_lower_percentile,visual_clip_upper_percentile,visual_vmin,visual_vmax,visualization_transform,quantitative_metric_annotation
Figure 4,R1C1,1,1,HBC_shared16112,B2M,4,11120,broad immune-associated pattern,Ground truth,protocol_a_full_truth,${FORMAL_RUN_ROOT}/inputs/HBC_shared16112/fold4/full_truth.npy,b35a87f9824c9337de55069349d17042317b2f071317abe2acd6be8476771558,full_truth,11120,global_gene_idx,${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,4784,0.0,5.208492279052734,2.0,98.0,1.6677004313468933,4.454862632751465,"independent 2nd-98th percentile clipping then min-max scaling to [0,1]",False
Figure 4,R1C2,1,2,HBC_shared16112,B2M,4,11120,broad immune-associated pattern,GeneSPT,validation_selected_readout_genespt57,${FORMAL_RUN_ROOT}/evaluation/validation_selected_readout_genespt57/test_predictions/HBC_shared16112/fold4/GeneSPT.npz,88a3134047bc9eae7e04a64a9e6485adce8f559311560d7b3b9c1205bf372f27,prediction,2203,selected_test_gene_position,${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,4784,0.010825440287590027,5.139970302581787,2.0,98.0,2.954826383590698,4.5050427341461186,"independent 2nd-98th percentile clipping then min-max scaling to [0,1]",False
Figure 4,R1C3,1,3,HBC_shared16112,B2M,4,11120,broad immune-associated pattern,Tangram,raw_identity,${FORMAL_RUN_ROOT}/baselines/Tangram/HBC_shared16112/fold4/imputed_expression.npy,cc35520a469844f5927f375d39473dead3ae5e128254f6cc3d06e797787cfca1,imputed_expression,11120,global_gene_idx,${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,4784,0.11514677107334137,7.613264083862305,2.0,98.0,3.4393241119384768,6.65879117012024,"independent 2nd-98th percentile clipping then min-max scaling to [0,1]",False
Figure 4,R1C4,1,4,HBC_shared16112,B2M,4,11120,broad immune-associated pattern,TransImp,raw_identity,${FORMAL_RUN_ROOT}/baselines/TransImp/HBC_shared16112/fold4/imputed_expression.npy,b52aa47a5752ab22e5d9c9c02d3ecceb572573dbcf2d9b3da98956c0f695328f,imputed_expression,11120,global_gene_idx,${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,4784,1.9080915451049805,13.46371078491211,2.0,98.0,5.667645387649536,11.038122119903564,"independent 2nd-98th percentile clipping then min-max scaling to [0,1]",False
Figure 4,R1C5,1,5,HBC_shared16112,B2M,4,11120,broad immune-associated pattern,SpaIM,raw_identity,${FORMAL_RUN_ROOT}/baselines/SpaIM/HBC_shared16112/fold4/imputed_expression.npy,688b31f0e7999e23b22817558abe8b749254aad514c6479714479aec43cbf6b0,imputed_expression,11120,global_gene_idx,${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,4784,0.020619608461856842,3.372715950012207,2.0,98.0,1.140241231918335,2.8008804082870484,"independent 2nd-98th percentile clipping then min-max scaling to [0,1]",False
Figure 4,R1C6,1,6,HBC_shared16112,B2M,4,11120,broad immune-associated pattern,SpaGE,raw_identity,${FORMAL_RUN_ROOT}/baselines/SpaGE/HBC_shared16112/fold4/imputed_expression.npy,c758a655b38077300d82003d6fb8bcef903c32ae6d776797f4880bb0f5af5fdf,imputed_expression,11120,global_gene_idx,${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,4784,2.7423453330993652,5.443655014038086,2.0,98.0,3.5401315450668336,5.249655609130859,"independent 2nd-98th percentile clipping then min-max scaling to [0,1]",False
Figure 4,R1C7,1,7,HBC_shared16112,B2M,4,11120,broad immune-associated pattern,stPlus,raw_identity,${FORMAL_RUN_ROOT}/baselines/stPlus/HBC_shared16112/fold4/imputed_expression.npy,b755456b81ce2f2a8fd3f18a5c0f9896bf4b1d4534897d0e8875fbc74d666a30,imputed_expression,11120,global_gene_idx,${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,4784,3.9642715454101562,4.418003082275391,2.0,98.0,4.275291519165039,4.373208045959473,"independent 2nd-98th percentile clipping then min-max scaling to [0,1]",False
Figure 4,R1C8,1,8,HBC_shared16112,B2M,4,11120,broad immune-associated pattern,stAI,raw_identity,${FORMAL_RUN_ROOT}/baselines/stAI/HBC_shared16112/fold4/imputed_expression.npy,9bfa176da9ef6ea9654edc2a7bdb7bdddb4cb4d0a6e920e783e7866900d38e0a,test_prediction,2203,frozen_test_gene_position,${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,4784,3.9350218772888184,5.2539448738098145,2.0,98.0,4.026520929336548,5.145009641647339,"independent 2nd-98th percentile clipping then min-max scaling to [0,1]",False
Figure 4,R2C1,2,1,HBC_shared16112,CD74,1,4810,immune local enrichment,Ground truth,protocol_a_full_truth,${FORMAL_RUN_ROOT}/inputs/HBC_shared16112/fold1/full_truth.npy,860689a1e14fd0a96636b5acd46f80ab29abb16c129973f9015cec89f853a952,full_truth,4810,global_gene_idx,${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,4784,0.0,4.590841770172119,2.0,98.0,0.0,3.8346338844299317,"independent 2nd-98th percentile clipping then min-max scaling to [0,1]",False
Figure 4,R2C2,2,2,HBC_shared16112,CD74,1,4810,immune local enrichment,GeneSPT,validation_selected_readout_genespt57,${FORMAL_RUN_ROOT}/evaluation/validation_selected_readout_genespt57/test_predictions/HBC_shared16112/fold1/GeneSPT.npz,8588018f5f3a62e50255017e073d37578dadc83a285a9710c5af209631940217,prediction,957,selected_test_gene_position,${ARCHIVE_ROOT}/processed_datasets/primary/HBC_shared16112/Locations.txt,9bd804691f3d63240f50e3bf025b05feb5190a60fdd73d7d61c2e5519e4fbaf6,4784,0.0,2.4769725799560547,2.0,98.0,0.0,1.8510369491577152,"independent 2nd-98th percentile clipping then min-max scaling to [0,1]",False
