dataset,dataset_id,method,result_layer,fold,cell_type,n_in,n_out,source_key,effect_formula,variance_ddof,split_artifact_id,truth_artifact_id,prediction_artifact_id,prediction_audit_artifact_id,label_artifact_id,test_gene_count,valid_effect_pair_count,invalid_effect_pair_count,true_positive_gene_count,predicted_positive_gene_count,effect_spearman,effect_mae,true_top20_gene_count,predicted_top20_gene_count,top20_overlap_count,true_top50_gene_count,predicted_top50_gene_count,top50_overlap_count
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,0,Astrocyte,62,851,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.GeneSPT,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,2000,2000,0,1000,774,0.25557829187857012,0.21631289417241509,20,20,9,50,50,23
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,0,Choroid Plexus,99,814,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.GeneSPT,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,2000,2000,0,748,631,0.35711920533338104,0.51700903596816505,20,20,7,50,50,14
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,0,Endothelial,68,845,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.GeneSPT,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,2000,2000,0,260,100,0.23721537235037907,0.70125852048992809,20,20,13,50,50,26
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,0,Ependymal,20,893,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.GeneSPT,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,2000,2000,0,222,0,0.092614354947910829,0.87271408339800449,20,0,0,50,0,0
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,0,Excitatory neuron,337,576,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.GeneSPT,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,2000,2000,0,1905,1958,0.48707538845920728,1.2249702759093311,20,20,5,50,50,15
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,0,Interneuron,60,853,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.GeneSPT,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,2000,2000,0,1561,1937,0.27266909312319348,0.50023398932381224,20,20,5,50,50,15
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,0,Microglia,30,883,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.GeneSPT,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,2000,2000,0,249,0,0.033533766835580396,0.7478326146657357,20,0,0,50,0,0
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,0,Neural Stem,68,845,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.GeneSPT,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,2000,2000,0,102,9,-0.016632043781736966,0.86457805802798704,20,9,1,50,9,3
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,0,Neuroblast,128,785,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.GeneSPT,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,2000,2000,0,83,0,-0.049956269405890215,1.1338412732447751,20,0,0,50,0,0
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,GeneSPT,validation_selected_readout_genespt57,0,Oligodendrocyte,41,872,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000.fold0.GeneSPT,(mean_in-mean_out)/sqrt((var_in+var_out)/2),0,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/mode_a_split.json,repository/results/protocol_a_full_rerun_20260711/inputs/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/full_truth.npy,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT.npz,repository/results/protocol_a_full_rerun_20260711/evaluation/validation_selected_readout_genespt57/test_predictions/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/apply_manifest.json,archive/label_provenance/matched_labels/seqfish_plus_cortex_svz_matched_cell_types.csv,2000,2000,0,1097,1215,0.34680669942805958,0.32699135842378174,20,20,8,50,50,29
